address,type,size,x-text
0x100ff250,string,27,"Unrecognized error value.\0"
0x100ff26c,string,71,"Rectangle provided was not horizontally aligned on required boundary.\0"
0x100ff2b4,string,78,"This surface can not be restored because it was created in a different mode.\0"
0x100ff304,string,114,"Informs DirectDraw that the previous Blt which is transfering information to or from this Surface is incomplete.\0"
0x100ff378,string,32,"Vertical blank is in progress.\0"
0x100ff398,string,69,"Bitmask in the pixel format requested is unsupported by DirectDraw.\0"
0x100ff3e0,string,55,"FOURCC format requested is unsupported by DirectDraw.\0"
0x100ff418,string,23,"Action not supported.\0"
0x100ff430,string,45,"Width requested by DirectDraw is too large.\0"
0x100ff460,string,88,"Size requested by DirectDraw is too large,but the individual height and width are OK.\0"
0x100ff4b8,string,46,"Height requested by DirectDraw is too large.\0"
0x100ff4e8,string,40,"The requested surface is not attached.\0"
0x100ff510,string,166,"Access to this surface is being refused because the surface memory is gone. The DirectDrawSurface object representing this surface should have Restore called on it.\0"
0x100ff5b8,string,60,"Access to surface refused because the surface is obscured.\0"
0x100ff5f4,string,98,"Access to this surface is being refused because the surface is already locked by another thread.\0"
0x100ff658,string,87,"This surface is already a dependency of the surface it is being made a dependency of.\0"
0x100ff6b0,string,74,"This surface is already attached to the surface it is being attached to.\0"
0x100ff6fc,string,53,"Region passed to Clipper::GetClipList is too small.\0"
0x100ff734,string,53,"This process already has created a primary surface.\0"
0x100ff76c,string,98,"Access to this palette is being refused because the palette is already locked by another thread.\0"
0x100ff7d0,string,65,"Returned when GetOverlayPosition is called on a hidden overlay.\0"
0x100ff814,string,62,"Can only have ony color key active at one time for overlays.\0"
0x100ff854,string,49,"The hardware does not support clipped overlays.\0"
0x100ff888,string,66,"DirectDraw does not have enough memory to perform the operation.\0"
0x100ff8cc,string,77,"The hardware needed for the requested operation has already been allocated.\0"
0x100ff91c,string,127,"Overlay surfaces could not be z layered based on their BltOrder because the hardware does not support z layering of overlays.\0"
0x100ff99c,string,95,"Operation could not be carried out because there is no hardware support for zbuffer blitting.\0"
0x100ff9fc,string,117,"Operation could not be carried out because there is no hardware support for vertical blank synchronized operations.\0"
0x100ffa74,string,56,"The surface being used is not a palette-based surface.\0"
0x100ffaac,string,125,"Surface was not locked.  An attempt to unlock a surface that was not locked at all,or by this process,has been attempted.\0"
0x100ffb2c,string,31,"Requested item was not found.\0"
0x100ffb4c,string,67,"An attempt has been made to flip a surface that is not flippable.\0"
0x100ffb90,string,103,"Operation could not be carried out because there is no texture mapping hardware present or available.\0"
0x100ffbf8,string,70,"Returned when an overlay member is called for a non-overlay surface.\0"
0x100ffc40,string,96,"DirectDrawSurface is not in 8 bit color mode and the requested operation requires 8 bit color.\0"
0x100ffca0,string,119,"DirectDrawSurface is not in 4 bit color index palette and the requested operation requires 4 bit color index palette.\0"
0x100ffd18,string,107,"DirectDrawSurface is not in 4 bit color palette and the requested operation requires 4 bit color palette.\0"
0x100ffd84,string,89,"Operation could not be carried out because there is no hardware support for stretching.\0"
0x100ffde0,string,96,"Operation could not be carried out because there is no rotation hardware present or available.\0"
0x100ffe40,string,109,"Operation could not be carried out because there is no appropriate raster op hardware present or available.\0"
0x100ffeb0,string,51,"No hardware support for 16 or 256 color palettes.\0"
0x100ffee4,string,45,"No palette object attached to this surface.\0"
0x100fff14,string,95,"Operation could not be carried out because there is no overlay hardware present or available.\0"
0x100fff74,string,130,"Returned when GetOverlayPosition is called on an overlay that UpdateOverlay has never been called on to establish a destination.\0"
0x100ffff8,string,87,"Operation could not be carried out because there is no hardware present or available.\0"
0x10100050,string,104,"Clipper notification requires an HWND or no HWND has previously been set as the CooperativeLevel HWND.\0"
0x101000b8,string,26,"There is no GDI present.\0"
0x101000d4,string,45,"Flipping visible surfaces is not supported.\0"
0x10100104,string,109,"Operation requires the application to have exclusive mode but the application does not have exclusive mode.\0"
0x10100174,string,35,"Software emulation not available.\0"
0x10100198,string,103,"A hardware-only DirectDraw object creation was attempted but the driver did not support any hardware.\0"
0x10100200,string,29,"No DirectDraw ROP hardware.\0"
0x10100220,string,42,"No DC was ever created for this surface.\0"
0x1010024c,string,91,"Create function called without DirectDraw object method SetCooperativeLevel being called.\0"
0x101002a8,string,103,"Operation could not be carried out because there is no hardware support of the destination color key.\0"
0x10100310,string,44,"Surface doesn't currently have a color key\0"
0x1010033c,string,104,"Operation could not be carried out because there is no color conversion hardware present or available.\0"
0x101003a4,string,47,"No clipper object attached to surface object.\0"
0x101003d4,string,24,"No cliplist available.\0"
0x101003ec,string,30,"No blitter hardware present.\0"
0x1010040c,string,105,"Operation could not be carried out because there is no alpha accleration hardware present or available.\0"
0x10100478,string,25,"There is no 3D present.\0"
0x10100494,string,77,"Operation could not be carried out because one or more surfaces are locked.\0"
0x101004e4,string,33,"Rectangle provided was invalid.\0"
